Date;PCR
2020-09-15 00:00:00;1.59
2020-09-16 00:00:00;1.75
2020-09-17 00:00:00;1.85
2020-09-18 00:00:00;1.71
2020-09-21 00:00:00;1.66
2020-09-22 00:00:00;1.92
2020-09-23 00:00:00;1.55
2020-09-24 00:00:00;1.67
2020-09-25 00:00:00;1.56
2020-09-28 00:00:00;1.51
2020-09-29 00:00:00;1.6
2020-09-30 00:00:00;1.4
2020-10-01 00:00:00;1.6
2020-10-02 00:00:00;1.71
2020-10-05 00:00:00;1.5
2020-10-06 00:00:00;1.66
2020-10-07 00:00:00;1.62
2020-10-08 00:00:00;1.81
2020-10-09 00:00:00;1.54
2020-10-12 00:00:00;1.22
2020-10-13 00:00:00;2.04
2020-10-14 00:00:00;1.41
2020-10-15 00:00:00;1.6
2020-10-16 00:00:00;1.5
2020-10-19 00:00:00;1.61
2020-10-20 00:00:00;1.48
2020-10-21 00:00:00;1.74
2020-10-22 00:00:00;1.62
2020-10-23 00:00:00;1.77
2020-10-26 00:00:00;1.37
2020-10-27 00:00:00;1.39
2020-10-28 00:00:00;1.41
2020-10-29 00:00:00;1.73
2020-10-30 00:00:00;1.19
2020-11-02 00:00:00;1.46
2020-11-03 00:00:00;1.42
2020-11-04 00:00:00;1.54
2020-11-05 00:00:00;1.9
2020-11-06 00:00:00;2.02
2020-11-09 00:00:00;1.52
2020-11-10 00:00:00;2.26
2020-11-11 00:00:00;1.9
2020-11-12 00:00:00;1.92
2020-11-13 00:00:00;1.53
2020-11-16 00:00:00;1.51
2020-11-17 00:00:00;1.58
2020-11-18 00:00:00;1.75
2020-11-19 00:00:00;1.46
2020-11-20 00:00:00;1.89
2020-11-23 00:00:00;1.54
2020-11-24 00:00:00;1.76
2020-11-25 00:00:00;1.81
2020-11-27 00:00:00;2.19
2020-11-30 00:00:00;1.64
2020-12-01 00:00:00;1.86
2020-12-02 00:00:00;1.54
2020-12-03 00:00:00;1.82
2020-12-04 00:00:00;1.68
2020-12-07 00:00:00;1.74
2020-12-08 00:00:00;1.52
2020-12-09 00:00:00;1.63
2020-12-10 00:00:00;1.69
2020-12-11 00:00:00;1.88
2020-12-14 00:00:00;2.17
2020-12-15 00:00:00;2.01
2020-12-16 00:00:00;1.79
2020-12-17 00:00:00;1.74
2020-12-18 00:00:00;1.68
2020-12-21 00:00:00;1.42
2020-12-22 00:00:00;1.69
2020-12-23 00:00:00;1.61
2020-12-24 00:00:00;1.52
2020-12-28 00:00:00;1.42
2020-12-29 00:00:00;1.55
2020-12-30 00:00:00;1.66
2020-12-31 00:00:00;1.64
2021-01-04 00:00:00;1.77
2021-01-05 00:00:00;1.95
2021-01-06 00:00:00;1.64
2021-01-07 00:00:00;1.53
2021-01-08 00:00:00;1.66
2021-01-11 00:00:00;2.16
2021-01-12 00:00:00;2.05
2021-01-13 00:00:00;1.6
2021-01-14 00:00:00;1.67
2021-01-15 00:00:00;1.68
2021-01-19 00:00:00;2.09
2021-01-20 00:00:00;1.39
2021-01-21 00:00:00;2.1
2021-01-22 00:00:00;1.62
2021-01-25 00:00:00;2.09
2021-01-26 00:00:00;2.35
2021-01-27 00:00:00;1.82
2021-01-28 00:00:00;1.84
2021-01-29 00:00:00;1.71
2021-02-01 00:00:00;1.83
2021-02-02 00:00:00;1.98
2021-02-03 00:00:00;1.77
2021-02-04 00:00:00;1.74
